n,time
644,10851
645,10900
646,15058
647,11251
648,15019
649,13656
650,11933
651,10700
652,13446
653,13506
654,10891
655,10860
656,11382
657,12885
658,12033
659,15139
660,12073
661,11221
662,10851
663,14367
664,11522
665,12684
666,13545
667,11702
668,11673
669,18725
670,13976
671,11172
672,11261
673,11683
674,12343
675,13887
676,11232
677,14257
678,11271
679,11292
680,12343
681,15630
682,13525
683,11301
684,11141
685,13306
686,11181
687,11562
688,11322
689,11191
690,14388
691,14878
692,11572
693,12013
694,11673
695,11562
696,12214
697,15580
698,13866
699,12794
700,21852
701,15700
702,15850
703,12223
704,11572
705,11782
706,11592
707,11552
708,11893
709,16221
710,11783
711,12294
712,13756
713,15099
714,12343
715,12413
716,13045
717,13095
718,11962
719,12043
720,11842
721,12023
722,12243
723,12694
724,12314
725,12434
726,12524
727,12234
728,12113
729,11833
730,19487
731,12153
732,17694
733,13556
734,12714
735,12394
736,16432
737,12464
738,16702
739,15479
740,12895
741,17864
742,14537
743,18044
744,12073
745,12433
746,12724
747,12815
748,12904
749,16111
750,13095
751,13726
752,12373
753,13646
754,13796
755,18224
756,12373
757,12414
758,16291
759,17743
760,12614
761,12494
762,15599
763,19347
764,12735
765,12564
766,16512
767,12724
768,12674
769,12764
770,18325
771,12403
772,14898
773,12674
774,15750
775,19356
776,15840
777,18695
778,14878
779,12855
780,13005
781,12524
782,12875
783,12534
784,12564
785,19948
786,12894
787,12744
788,14888
789,12914
790,16101
791,12865
792,14267
793,12725
794,12924
795,13737
796,12925
797,13515
798,15279
799,16602
800,13015
801,13034
802,18926
803,15469
804,15189
805,17864
806,18966
807,26791
808,21521
809,13335
810,12925
811,17683
812,15028
813,19728
814,16612
815,13376
816,13656
817,13345
818,13245
819,14758
820,14017
821,13426
822,17614
823,24667
824,25108
825,13446
826,21791
827,16752
828,16732
829,13425
830,13525
831,13456
832,13315
833,13636
834,13616
835,13335
836,13466
837,13396
838,18776
839,21330
840,16882
841,13826
842,13515
843,13676
844,14838
845,17373
846,13777
847,17163
848,17173
849,13716
850,17934
851,14357
852,14378
853,13876
854,14087
855,14698
856,14528
857,16251
858,13997
859,14157
860,17533
861,14197
862,13977
863,14006
864,14137
865,14026
866,16492
867,17543
868,13977
869,14117
870,14077
871,14146
872,14157
873,14237
874,21060
875,15940
876,14237
877,14297
878,14337
879,15610
880,15840
881,18665
882,19617
883,18265
884,14347
885,17934
886,15590
887,14297
888,19356
889,15820
890,27091
891,21230
892,14988
893,15910
894,16822
895,21951
896,16000
897,14287
898,14327
899,15219
900,15460
901,16210
902,14397
903,16361
904,14607
905,15309
906,15319
907,16181
908,14618
909,14718
910,14638
911,15279
912,16271
913,14788
914,18475
915,14758
916,19197
917,14748
918,16381
919,15209
920,14898
921,15770
922,20449
923,24426
924,16481
925,14958
926,14939
927,21811
928,15088
929,22182
930,18645
931,15008
932,15159
933,16882
934,15199
935,18556
936,15459
937,22263
938,19337
939,14929
940,18035
941,19738
942,18876
943,15199
944,17654
945,16812
946,15359
947,15058
948,15359
949,18996
950,25949
951,15920
952,15289
953,16071
954,19226
955,15459
956,16000
957,15469
958,26250
959,16992
960,15490
961,15419
962,15400
963,21181
964,19297
965,15439
966,17864
967,15540
968,16171
969,16191
970,17974
971,17363
972,15699
973,16421
974,20348
975,16602
976,16382
977,15309
978,15410
979,23083
980,16031
981,15610
982,19106
983,16130
984,15689
985,17654
986,19698
987,15700
988,15770
989,15980
990,19818
991,15880
992,20098
993,19086
994,19848
995,22303
996,16912
997,15990
998,16050
999,15750
1000,17763
1001,17633
1002,16732
1003,20429
1004,15800
1005,15820
1006,16080
1007,16081
1008,18916
1009,20169
1010,20429
1011,16121
1012,17484
1013,18014
1014,19116
1015,17824
1016,18004
1017,19056
1018,16301
1019,16081
1020,18134
1021,16792
1022,17864
1023,20388
1024,17113
1025,17293
1026,17643
1027,16241
1028,22874
1029,19567
1030,19317
1031,16301
1032,18645
1033,16662
1034,18325
1035,16481
1036,23014
1037,19877
1038,16832
1039,36218
1040,16852
