n,time
649,1092
650,1643
651,1123
652,1012
653,1102
654,1092
655,1322
656,1302
657,1493
658,1072
659,1323
660,1343
661,1092
662,1864
663,1072
664,1773
665,991
666,1313
667,1392
668,1282
669,1944
670,2214
671,1093
672,941
673,1983
674,992
675,1183
676,1002
677,1112
678,982
679,931
680,992
681,972
682,1153
683,952
684,792
685,1282
686,1453
687,1062
688,1823
689,972
690,922
691,922
692,1172
693,721
694,1052
695,892
696,982
697,842
698,1122
699,902
700,1132
701,1332
702,1403
703,821
704,1082
705,1042
706,1082
707,1052
708,841
709,922
710,1283
711,641
712,1223
713,1102
714,1463
715,932
716,972
717,941
718,1393
719,962
720,1082
721,2214
722,942
723,1983
724,3156
725,2003
726,1252
727,1012
728,732
729,842
730,1122
731,1132
732,1082
733,1513
734,1192
735,1032
736,1102
737,1112
738,952
739,1122
740,1082
741,1212
742,1032
743,1142
744,1122
745,1292
746,922
747,1062
748,1233
749,952
750,951
751,1092
752,1734
753,1643
754,902
755,1363
756,1162
757,1272
758,1123
759,1012
760,1292
761,2394
762,1523
763,2305
764,1032
765,1342
766,1002
767,2525
768,1833
769,2254
770,1453
771,1292
772,1763
773,1523
774,1794
775,1613
776,801
777,1613
778,1332
779,1563
780,1283
781,1423
782,1242
783,1422
784,1393
785,1583
786,1403
787,2024
788,1362
789,1453
790,1082
791,1262
792,1463
793,1233
794,1233
795,1192
796,962
797,1312
798,1242
799,1644
800,1313
801,1363
802,1132
803,1011
804,2695
805,1052
806,1212
807,1122
808,932
809,821
810,1142
811,1143
812,1112
813,1092
814,1132
815,891
816,892
817,1032
818,932
819,1774
820,992
821,1513
822,1352
823,1293
824,1313
825,1593
826,1312
827,1102
828,1162
829,1293
830,1583
831,1593
832,1343
833,1263
834,1202
835,1102
836,1222
837,1723
838,1262
839,1162
840,1303
841,1242
842,831
843,2434
844,1203
845,1202
846,781
847,1723
848,1182
849,1834
850,872
851,2144
852,1122
853,1212
854,1273
855,1162
856,2405
857,1182
858,1042
