n,time
647,1954
648,2254
649,1022
650,2474
651,2595
652,1233
653,1563
654,2073
655,1723
656,761
657,1032
658,1483
659,2264
660,2144
661,1103
662,1062
663,1463
664,1903
665,1072
666,1173
667,2565
668,1162
669,1293
670,1573
671,1723
672,1002
673,1964
674,871
675,1783
676,1403
677,1493
678,1543
679,1383
680,1402
681,1863
682,1733
683,1232
684,831
685,3758
686,972
687,1813
688,2064
689,872
690,882
691,922
692,2054
693,752
694,1634
695,1042
696,1764
697,952
698,6282
699,952
700,762
701,1573
702,921
703,942
704,1723
705,1573
706,1443
707,1523
708,922
709,1553
710,812
711,882
712,841
713,1874
714,1553
715,962
716,1513
717,812
718,1623
719,892
720,2384
721,1483
722,1433
723,852
724,2795
725,2244
726,1443
727,2134
728,911
729,942
730,2355
731,1473
732,1753
733,1463
734,1834
735,1522
736,811
737,1623
738,862
739,1483
740,1463
741,1673
742,862
743,2054
744,1442
745,1353
746,822
747,1603
748,1483
749,1924
750,1403
751,1873
752,2735
753,1483
754,1192
755,1923
756,1072
757,1954
758,1473
759,872
760,1723
761,1793
762,2345
763,1833
764,1543
765,1944
766,1012
767,1924
768,2435
769,2194
770,2004
771,1974
772,1312
773,2856
774,1633
775,3035
776,1022
777,1573
778,2064
779,1763
780,942
781,1984
782,1723
783,1923
784,1894
785,1844
786,1743
787,1713
788,1723
789,1042
790,1142
791,2044
792,2455
793,1643
794,1162
795,1032
796,962
797,2574
798,1914
799,1904
800,1934
801,1853
802,1362
803,951
804,2956
805,3076
806,1463
807,1693
808,1482
809,952
810,1793
811,2274
812,1573
813,1533
814,1533
815,832
816,1513
817,1613
818,781
819,861
820,1323
821,2715
822,1843
823,1854
824,1874
825,1693
826,2264
827,1362
828,2024
829,2244
830,1883
831,1843
832,2194
833,1764
834,2224
835,1834
836,1613
837,1683
838,1783
839,2154
840,2254
841,1493
842,1112
843,2184
844,1714
845,1283
846,932
847,2134
848,2445
849,2174
850,1133
851,2194
852,1763
853,1633
854,1012
855,1553
856,2355
857,1392
858,1673
859,2344
860,2775
861,2554
862,1272
863,2495
864,2514
865,2194
866,1603
867,1272
868,1372
869,1333
870,2445
871,2064
872,2645
873,1393
874,1353
875,2344
876,2535
877,1202
878,1242
879,2625
880,2214
881,2174
882,2064
883,3396
884,1433
885,2054
886,1573
887,1723
888,1683
889,1492
890,842
891,831
892,1173
893,1994
894,1583
895,1473
896,1753
897,1303
898,741
899,1913
900,841
901,802
902,1142
903,952
904,1803
905,841
906,1563
907,1493
908,1012
909,1713
910,741
911,1984
912,1042
913,1723
914,1543
915,1553
916,1533
917,1343
918,1443
919,751
920,1593
921,2494
922,1393
923,2895
924,1483
925,2836
926,2856
927,2134
928,2064
929,2535
930,2595
931,2706
932,2494
933,2214
934,2124
935,1402
936,1433
937,741
938,891
939,1713
940,1713
941,842
942,2014
943,1392
944,1984
945,752
946,821
947,1022
948,2034
949,1583
950,1493
951,1643
952,1402
953,1393
954,1532
955,882
956,1523
957,2284
958,2314
959,1633
960,1613
961,1392
962,1663
963,1402
964,3236
965,1883
966,3557
967,1883
968,971
969,1934
970,1703
971,1543
972,832
973,2464
974,1673
975,1553
976,2895
977,1583
978,1663
979,891
980,1923
981,902
982,812
983,1572
984,942
985,962
986,1794
987,1453
988,2434
989,1543
990,1643
991,1944
992,1042
993,861
994,1513
995,732
996,1513
997,1313
998,701
999,922
1000,712
1001,702
1002,1202
1003,1042
1004,1532
1005,901
1006,2214
1007,1493
1008,1884
1009,1503
1010,1262
1011,1483
1012,1293
1013,1613
1014,2154
1015,1643
1016,1764
1017,842
1018,1142
1019,1983
1020,1513
1021,1523
1022,1002
1023,1202
1024,2285
1025,2324
1026,1283
1027,1934
1028,3397
1029,2565
1030,1363
1031,2665
1032,2084
1033,1383
1034,2715
1035,2254
1036,2165
1037,2365
1038,2555
1039,1343
1040,1864
1041,972
1042,651
1043,1563
1044,2034
1045,2434
1046,942
1047,1222
1048,1012
1049,2234
1050,1613
1051,1553
1052,1503
1053,832
1054,1212
1055,2003
1056,2225
1057,1012
1058,2385
1059,2495
1060,2545
1061,1473
1062,1162
1063,2214
1064,951
1065,2094
1066,1653
1067,1663
1068,932
1069,1994
1070,1022
1071,1813
1072,1653
1073,862
1074,1503
1075,1513
1076,2335
1077,2795
1078,1944
1079,1463
1080,1222
1081,1663
1082,1473
1083,1062
1084,1002
1085,742
1086,1543
1087,1523
1088,1463
1089,1603
1090,1443
1091,1403
1092,3066
1093,1262
1094,1834
1095,1543
1096,1613
1097,1523
1098,1973
1099,972
1100,1543
1101,1473
1102,1323
1103,1262
1104,1493
1105,852
1106,2034
1107,1462
1108,1552
1109,1523
1110,1573
1111,1243
1112,1744
1113,1383
1114,1133
1115,2044
1116,1923
1117,1774
1118,1533
1119,1833
1120,3758
1121,1783
1122,1743
1123,1723
1124,1062
1125,1954
1126,2615
1127,1914
1128,2034
1129,2335
1130,2365
1131,2615
1132,2465
1133,2385
1134,2134
1135,2735
1136,1934
1137,1403
1138,2615
1139,2294
1140,2364
1141,1773
1142,2585
1143,3156
1144,2505
1145,932
1146,1613
1147,1743
1148,2034
1149,1613
1150,1533
1151,1743
1152,992
1153,1282
1154,972
1155,1774
1156,1443
1157,1513
1158,1683
1159,992
1160,2174
1161,762
1162,2284
1163,1714
1164,821
1165,1643
1166,1462
1167,1443
1168,1513
1169,1563
1170,1432
1171,2455
1172,2454
1173,1714
1174,2084
1175,1744
1176,2144
1177,1724
1178,2495
1179,2054
1180,1653
1181,2856
1182,1443
1183,841
1184,1954
1185,1483
1186,1543
1187,802
1188,2354
1189,1913
1190,1833
1191,832
1192,1663
1193,791
1194,1452
1195,1543
1196,1924
1197,1603
1198,1453
1199,3407
1200,2374
1201,1943
1202,1082
1203,1182
1204,1844
1205,1503
1206,822
1207,972
1208,1393
1209,911
1210,1483
1211,862
1212,2114
1213,1453
1214,761
1215,2735
1216,1593
1217,2585
1218,1893
1219,1433
1220,1723
1221,1403
1222,1713
1223,811
1224,1814
1225,1643
1226,971
1227,1703
1228,1874
1229,852
1230,1663
1231,1513
1232,1393
1233,1593
1234,1482
1235,931
1236,921
1237,1483
1238,1763
1239,732
1240,1453
1241,1102
1242,2034
1243,1473
1244,1543
1245,882
1246,2084
1247,1382
1248,1513
1249,1333
1250,1102
1251,1824
1252,1363
1253,1523
1254,751
1255,1603
1256,1293
1257,1643
1258,1944
1259,1854
1260,2064
1261,822
1262,1693
1263,1032
1264,2044
1265,1483
1266,862
1267,2154
1268,1362
1269,1052
1270,1292
1271,1473
1272,1543
1273,1773
1274,1282
