n,time
653,6945
654,7027
655,7071
656,6895
657,7321
658,6840
659,6796
660,7594
661,6778
662,6761
663,6923
664,6905
665,6576
666,6662
667,6894
668,6775
669,6745
670,7170
671,6982
672,6869
673,6593
674,6864
675,6739
676,6999
677,6594
678,6986
679,7096
680,6775
681,6463
682,6609
683,6715
684,6701
685,6738
686,6970
687,6926
688,6698
689,6764
690,7480
691,7028
692,6739
693,6897
694,6875
695,6799
696,7590
697,6815
698,6930
699,6923
700,7107
701,7205
702,7348
703,7207
704,7055
705,6972
706,6929
707,6890
708,7075
709,6842
710,7272
711,6917
712,6932
713,6884
714,7056
715,7063
716,6890
717,7374
718,6966
719,7295
720,7067
721,7050
722,7320
723,7052
724,6943
725,7181
726,6989
727,7072
728,7366
729,9846
730,7117
731,7874
732,6973
733,7050
734,7145
735,7147
736,7436
737,8115
738,7230
739,7955
740,8465
741,7710
742,7839
743,7493
744,7766
745,7348
746,7727
747,8820
748,8199
749,7792
750,9303
751,10184
752,10244
753,12907
754,10000
755,8759
756,8136
757,8847
758,7880
759,7746
760,8375
761,7690
762,7891
763,8828
764,9968
765,10165
766,7916
767,8188
768,8633
769,7699
770,8189
771,7856
772,11068
773,7941
774,7506
775,7801
776,7602
777,7845
778,7896
779,7476
780,7850
781,7855
782,7806
783,7664
784,7810
785,7839
786,7697
787,7916
788,7674
789,7866
790,7640
791,7860
792,7740
793,7918
794,7961
795,7793
796,7779
797,7935
798,7729
799,7870
800,7863
801,7841
802,8432
803,7759
804,8035
805,8078
806,7738
807,7661
808,7947
809,8025
810,7987
811,7708
812,7710
813,7767
814,7579
815,7955
816,7617
817,7722
818,7696
819,7688
820,7725
821,9504
822,7894
823,7833
824,7947
825,7833
826,7690
827,7936
828,7768
829,7731
830,7802
831,7718
832,7825
833,7985
834,8053
835,8436
836,7951
837,8046
838,8034
839,8377
840,8204
841,8330
842,8359
843,8476
844,8309
845,8399
846,8385
847,8682
848,8599
849,9006
850,8811
851,11671
852,8602
853,8553
854,8555
855,8263
856,8460
857,8365
858,8089
859,8709
860,8651
861,8308
862,8240
863,8387
864,8294
865,8081
866,8389
867,9311
868,8197
869,8557
870,8592
871,8511
872,8550
873,8662
874,8368
875,8820
876,8782
877,8658
878,8304
879,8297
880,8256
881,8417
882,8255
883,8247
884,8608
885,8230
886,8314
887,8674
888,8722
889,8470
890,8347
891,8386
892,8496
893,8645
894,8703
895,9032
896,8509
897,8795
898,8968
899,8601
900,8476
901,8257
902,8328
903,8451
904,8543
905,8691
906,8551
907,8812
908,8674
909,11131
910,8598
911,8472
912,9187
913,8480
914,8797
915,8868
916,8511
917,8538
918,8706
919,8938
