n,time
656,2931
657,3127
658,3313
659,3093
660,2872
661,2849
662,3041
663,2739
664,3094
665,2902
666,2728
667,2811
668,2705
669,2575
670,3393
671,2648
672,2786
673,3221
674,2943
675,3134
676,2864
677,2891
678,2837
679,2893
680,2759
681,2908
682,3048
683,3137
684,2932
685,2860
686,2952
687,2872
688,3089
689,2962
690,3013
691,3045
692,3058
693,3253
694,3065
695,2785
696,3187
697,2942
698,2956
699,2869
700,2980
701,2870
702,3082
703,2968
704,3104
705,3214
706,3097
707,2880
708,2939
709,3173
710,3078
711,3521
712,3168
713,3198
714,3172
715,2991
716,3157
717,2937
718,2867
719,2918
720,3354
721,3020
722,3151
723,3193
724,3277
725,2938
726,3340
727,2967
728,2985
729,2949
730,2879
731,3184
732,2847
733,3353
734,3230
735,3113
736,3192
737,3406
738,3060
739,3636
740,3484
741,3099
742,3507
743,3311
744,3147
745,3117
746,2938
747,3083
748,3233
749,3517
750,4636
751,4318
752,4238
753,3581
754,4002
755,3810
756,3578
757,3219
758,3177
759,3165
760,3422
761,3915
762,3331
763,3767
764,4207
765,3691
766,3571
767,3935
768,3437
769,3474
770,3135
771,3517
772,3288
773,3345
774,3349
775,3318
776,3163
777,3218
778,3333
779,3442
780,3365
781,3208
782,3390
783,3264
784,3265
785,3024
786,3143
787,3109
788,3213
789,3316
790,3154
791,3090
792,3443
793,3080
794,3185
795,5285
796,3094
797,3091
798,3276
799,3470
800,3370
801,3361
802,3326
803,3183
804,3077
805,3464
806,3217
807,3319
808,3280
809,3329
810,3145
811,3473
812,3188
813,3245
814,3529
815,3400
816,3095
817,3263
818,3318
819,3224
820,3626
821,3467
822,3561
823,3296
824,3141
825,3487
826,3435
827,3213
828,3303
829,3338
830,3359
831,3210
832,3228
833,3106
834,3232
835,3344
836,3293
837,3263
838,3225
839,3466
840,3621
841,3245
842,3443
843,3232
844,3400
845,3245
846,3503
847,3365
848,4514
849,3382
850,3810
851,3568
852,3774
853,3477
854,3684
855,3714
856,3447
857,3439
858,3449
859,3425
860,3488
861,3323
862,3529
863,3506
864,3339
865,3520
866,3469
867,3747
868,3382
869,3654
870,3403
871,3575
872,3628
873,3639
874,3564
875,3543
876,3496
877,3440
878,3743
879,3397
880,3539
881,3453
882,3330
883,3212
884,3256
885,3411
886,7078
887,3542
888,3361
889,3430
890,3494
891,3542
892,3545
893,3421
894,3518
895,3511
896,3665
897,3639
898,3517
899,3297
900,3467
901,3314
902,3448
903,3539
904,3344
905,3279
906,3307
907,3439
908,3325
909,3387
910,3517
911,3650
912,3588
913,3660
914,3448
915,3427
916,3993
917,3876
918,3564
919,3660
920,3523
921,3979
922,3459
923,3752
924,3445
925,3635
926,3866
927,3447
928,3610
929,3685
930,3695
931,3702
932,3668
933,3600
934,4063
935,3763
936,3565
937,3538
938,3584
939,3527
940,3721
941,3904
942,3605
943,3649
944,3510
945,3584
946,3775
947,3717
948,3710
949,3729
950,3744
951,3436
952,5977
953,3443
954,3979
955,3476
956,4304
957,3746
958,3692
959,3897
960,3565
961,3537
962,3885
963,3643
964,3748
965,3770
966,3475
967,4138
968,4410
969,3609
970,3978
971,4222
972,3808
973,3751
974,3608
975,3754
976,3579
977,3642
978,3905
979,3863
980,3820
981,5528
982,4697
983,4432
984,5514
985,4514
986,4886
987,4807
988,4321
989,3927
990,3877
991,4136
992,4089
993,4371
994,4483
995,4161
996,4195
997,4273
998,4087
999,3930
1000,4426
1001,4379
1002,4101
1003,4150
1004,4308
1005,4204
1006,3960
1007,4388
1008,4209
1009,4344
1010,3955
1011,4001
1012,3912
1013,4654
1014,4534
1015,4272
1016,4547
1017,4480
1018,4585
1019,4696
1020,4151
1021,4368
1022,4607
1023,4284
1024,4729
1025,4603
1026,4905
1027,4911
1028,5308
1029,5032
1030,4435
1031,4650
1032,4850
1033,4335
1034,4503
1035,4847
1036,4533
1037,4279
1038,4419
1039,4309
1040,4689
1041,4486
1042,4520
1043,4693
1044,4649
1045,4731
1046,3916
1047,4169
1048,4221
1049,3814
1050,3894
1051,4410
1052,4293
1053,3993
1054,3908
1055,3852
1056,4243
1057,4269
1058,4009
1059,4223
1060,3989
1061,4044
1062,4196
1063,4508
1064,4218
1065,4664
1066,4315
1067,4554
1068,4095
1069,4401
1070,4241
1071,4357
1072,4174
1073,4319
1074,4033
1075,4258
1076,4695
1077,4065
1078,4515
1079,4241
1080,4187
1081,4127
1082,4561
1083,5207
1084,4967
1085,4469
1086,4380
1087,4218
1088,4212
1089,4437
1090,4163
1091,4470
1092,4178
1093,4091
1094,4426
1095,4304
1096,4056
1097,4700
1098,4084
1099,4115
1100,4353
1101,4496
1102,4192
1103,4301
1104,4161
1105,4313
1106,4140
1107,4362
1108,4128
1109,4358
1110,4871
1111,4616
1112,4735
1113,4664
1114,4755
1115,4738
1116,4637
1117,4737
1118,4878
1119,4679
1120,5092
1121,4408
1122,5235
1123,4308
1124,4746
1125,5187
1126,4840
1127,4944
1128,4565
1129,4529
1130,4593
1131,4682
1132,4541
1133,4813
1134,4834
1135,4657
1136,4723
1137,5168
1138,5443
1139,5395
1140,5458
1141,4840
1142,4426
1143,4161
1144,4573
1145,4320
1146,4296
1147,4417
1148,4176
1149,4386
1150,4267
1151,4359
1152,4503
1153,4896
1154,4256
1155,4592
1156,4644
1157,4484
1158,4458
1159,4559
1160,4677
1161,4626
1162,4464
1163,4495
1164,4503
1165,4679
1166,4485
1167,4550
1168,4735
1169,4921
1170,5155
1171,5358
1172,5289
1173,5367
1174,5216
1175,4833
1176,4839
1177,5174
1178,6083
1179,5839
1180,5273
1181,5541
1182,4350
1183,4736
1184,4605
1185,4706
1186,4486
1187,4635
1188,4374
1189,4584
1190,4287
1191,4622
1192,4495
1193,4618
1194,4593
1195,4372
1196,4422
1197,4417
1198,4392
1199,4598
1200,4783
1201,4569
1202,4648
1203,4539
1204,4415
1205,4646
1206,4640
1207,4385
1208,4494
1209,4500
1210,4405
1211,5159
1212,4738
1213,4535
1214,4680
1215,4671
1216,4812
1217,5440
1218,5075
1219,4789
1220,5133
1221,5100
1222,4815
1223,5344
1224,5170
1225,5127
1226,6872
1227,6002
1228,5357
1229,4806
1230,4713
1231,4626
1232,5249
1233,5254
1234,4932
1235,4825
1236,5208
1237,4978
1238,4792
1239,5376
1240,6248
1241,5759
1242,6711
1243,5152
1244,5323
1245,6352
1246,5694
1247,5632
1248,6250
1249,6294
1250,5476
1251,5188
1252,5604
1253,5720
1254,6191
1255,5548
1256,5832
1257,5200
1258,6856
1259,6365
1260,7711
1261,6188
1262,6727
1263,5319
1264,5531
1265,7659
1266,6077
1267,7690
1268,5949
1269,4901
1270,5182
1271,6201
1272,5592
1273,5394
1274,5449
1275,6432
1276,5253
1277,5613
1278,15290
1279,5480
1280,5202
1281,5663
1282,5119
1283,5026
1284,5039
1285,5186
1286,5278
1287,4740
1288,5079
1289,4844
1290,5355
1291,6611
1292,6708
1293,6953
1294,6113
1295,5656
1296,6641
1297,6010
1298,5743
1299,6473
1300,6531
1301,6552
1302,5471
1303,5354
1304,6420
1305,6699
1306,5874
1307,5521
1308,5305
1309,6234
1310,5560
1311,4711
1312,4990
1313,4657
1314,5054
1315,5194
1316,5106
1317,5285
1318,5256
1319,5094
1320,7177
1321,5236
1322,5993
1323,4880
1324,6017
1325,5502
1326,5309
1327,4880
1328,4829
1329,5160
1330,5216
1331,4989
1332,4947
1333,5034
1334,4989
1335,5251
1336,5502
1337,5082
1338,5053
1339,5075
1340,5130
1341,5365
1342,5257
1343,4873
1344,5068
1345,5037
1346,4935
1347,4914
1348,5807
1349,5217
1350,5595
1351,5708
1352,5314
1353,5050
1354,5153
1355,5132
1356,5721
1357,6362
1358,6067
1359,5621
1360,5369
1361,5708
1362,5625
1363,5299
1364,5270
1365,5151
1366,5511
1367,5447
1368,5174
1369,5425
1370,5555
1371,5472
1372,5661
1373,5347
1374,5816
1375,6113
1376,5399
1377,5592
1378,5795
1379,5680
1380,5312
1381,5484
1382,5307
1383,5327
1384,5721
1385,5599
1386,5518
1387,5469
1388,5837
1389,5439
1390,5832
1391,6185
1392,5452
1393,5824
1394,5690
1395,5943
1396,5616
1397,5563
1398,5671
1399,5722
1400,5437
1401,5284
1402,5426
1403,5730
1404,5576
1405,5311
1406,5364
1407,5461
1408,5423
1409,5299
1410,5551
1411,5386
1412,5497
1413,5640
1414,5672
1415,5232
1416,5150
1417,5596
1418,5667
1419,5195
1420,6004
1421,5317
1422,5576
1423,5279
1424,5181
1425,5593
1426,5588
1427,5351
1428,5351
1429,5387
1430,5558
1431,5436
1432,6057
1433,6449
1434,5791
1435,6638
1436,5038
1437,5609
1438,5008
1439,5127
1440,4994
1441,4856
1442,5031
1443,4860
1444,5668
1445,6231
1446,4943
1447,5490
1448,4965
1449,5437
1450,5102
1451,5086
1452,5507
1453,5234
1454,5269
1455,5354
1456,6216
1457,5348
1458,5075
1459,4829
1460,5405
1461,5692
1462,5551
1463,4985
1464,5109
1465,5437
1466,5463
1467,5578
1468,5445
1469,5129
1470,5230
1471,4916
1472,4958
1473,5769
1474,5058
1475,5656
1476,5304
1477,4962
1478,5519
1479,4967
1480,5261
1481,5653
1482,5178
1483,4856
1484,5433
1485,4899
1486,5152
1487,4982
1488,5052
1489,5446
1490,5877
1491,5327
1492,4882
1493,5260
1494,5132
1495,5247
1496,5874
1497,5010
1498,5023
1499,5013
1500,5267
1501,4941
1502,4878
1503,4950
1504,5333
1505,4832
1506,5017
1507,5624
1508,4965
1509,6020
1510,4897
1511,4914
1512,5483
1513,4823
1514,4758
1515,5916
1516,5109
1517,6567
1518,5158
1519,5581
1520,4978
1521,5279
1522,5558
1523,4931
1524,5165
1525,5301
1526,4954
1527,5014
1528,5558
1529,4935
1530,5120
1531,5055
1532,4972
1533,5363
1534,5295
1535,5138
1536,4989
1537,4968
1538,5113
1539,5483
1540,5047
1541,5068
1542,4944
1543,5078
1544,5349
1545,5191
1546,4996
1547,5059
1548,5415
1549,6048
1550,5158
1551,5272
1552,5418
1553,5184
1554,5891
1555,5789
1556,5583
1557,6044
1558,5599
1559,5766
1560,5313
1561,6181
1562,5833
1563,6107
1564,5838
1565,6563
1566,5917
1567,5294
1568,5579
1569,5551
1570,5477
1571,5568
1572,5786
1573,5314
1574,5480
1575,5379
1576,4998
1577,5491
1578,5194
1579,5401
1580,5314
1581,5373
1582,5646
1583,5502
1584,5875
1585,5205
1586,5540
1587,5403
1588,5379
1589,5808
1590,5477
1591,5216
1592,5341
1593,5925
1594,5699
1595,5835
1596,6136
1597,5324
1598,5799
1599,5628
1600,5844
1601,5510
1602,5502
1603,6126
1604,5370
1605,5484
1606,5970
1607,6008
1608,5499
1609,5797
1610,5650
1611,5320
1612,6219
1613,5770
1614,5338
1615,5439
1616,5673
1617,5976
1618,5379
1619,5386
1620,6020
1621,5753
1622,5655
1623,5333
1624,5635
1625,5509
1626,5561
1627,5219
1628,5302
1629,5462
1630,5356
1631,5188
1632,5581
1633,5190
1634,5534
1635,5314
1636,5292
1637,5595
1638,5675
1639,5448
1640,5874
1641,5533
1642,5464
1643,6215
1644,5619
1645,5266
1646,5345
1647,5618
1648,6591
1649,5716
1650,5732
1651,5888
1652,5330
1653,5781
1654,5739
1655,5485
1656,5484
1657,5717
1658,5673
1659,5269
1660,5314
1661,5613
1662,5293
1663,5733
1664,5638
1665,5512
1666,5697
1667,5366
1668,5895
1669,5620
1670,5935
1671,5714
1672,5581
1673,5960
1674,5325
1675,5871
1676,5331
1677,5808
1678,5671
1679,5570
1680,5613
1681,5659
1682,5664
1683,5632
1684,5879
1685,6105
1686,6076
1687,6080
1688,6120
1689,6043
1690,6141
1691,6062
1692,6226
1693,6264
1694,5774
1695,5734
1696,6174
1697,6311
1698,6237
1699,6432
1700,6096
1701,6143
1702,5819
1703,6463
1704,5897
1705,5785
1706,6200
1707,5807
1708,6272
1709,6317
1710,5782
1711,6293
1712,6293
1713,6521
1714,6350
1715,5818
1716,5924
1717,6450
1718,6337
1719,6490
1720,6194
1721,6288
1722,6805
1723,5946
1724,6079
1725,6255
1726,6021
1727,6247
1728,6056
1729,5999
1730,6247
1731,6164
1732,5813
1733,6322
1734,5988
1735,6132
1736,5992
1737,5942
1738,5992
1739,6717
1740,6256
1741,6195
1742,6395
1743,6068
1744,5978
1745,6258
1746,6314
1747,6000
1748,6411
1749,6680
1750,6284
1751,6755
1752,6623
1753,7493
1754,6768
1755,7121
1756,7455
1757,7139
1758,6832
1759,6540
1760,6526
1761,6918
1762,6901
1763,6677
1764,6524
1765,6857
1766,6475
1767,6505
1768,6175
1769,6312
1770,5861
1771,5864
1772,6124
1773,6668
1774,6073
1775,5815
1776,6222
1777,5894
1778,6074
1779,6505
1780,8113
1781,6003
1782,6447
1783,6190
1784,6824
1785,7222
1786,7182
1787,6277
1788,6703
1789,6465
1790,7182
1791,6705
1792,6090
1793,6341
1794,6686
1795,6382
1796,6288
1797,6293
1798,6468
1799,5850
1800,6406
1801,5936
1802,6006
1803,5862
1804,6307
1805,5870
1806,5989
1807,6461
1808,6100
1809,6180
1810,6512
1811,6827
1812,6096
1813,5928
