n,time
645,942
646,1363
647,1293
648,1503
649,1313
650,1253
651,1333
652,1092
653,1011
654,1212
655,1543
656,1754
657,1122
658,1192
659,1833
660,1403
661,952
662,1102
663,1593
664,1423
665,1452
666,1974
667,2034
668,1303
669,2014
670,1322
671,1493
672,1222
673,1222
674,1012
675,972
676,1082
677,1212
678,941
679,1112
680,1012
681,892
682,902
683,951
684,1022
685,1653
686,1303
687,1103
688,1162
689,1573
690,962
691,872
692,1072
693,942
694,1193
695,912
696,1553
697,992
698,1293
699,1122
700,912
701,1012
702,812
703,992
704,1012
705,1183
706,851
707,1233
708,842
709,1022
710,992
711,972
712,1062
713,982
714,1423
715,972
716,1102
717,1042
718,1152
719,952
720,1774
721,922
722,1352
723,1904
724,2585
725,2344
726,992
727,1153
728,982
729,1272
730,1182
731,1072
732,972
733,1112
734,1032
735,1102
736,1042
737,1152
738,932
739,1072
740,952
741,1192
742,1133
743,1022
744,1022
745,1834
746,1413
747,1072
748,1373
749,1022
750,1021
751,1142
752,2374
753,1443
754,1342
755,1233
756,1092
757,1372
758,1292
759,1162
760,1483
761,1353
762,1713
763,1473
764,1473
765,1823
766,1954
767,1403
768,1814
769,1703
770,1593
771,1613
772,1914
773,2154
774,2495
775,1442
776,1132
777,2444
778,1412
779,1172
780,1202
781,1472
782,1353
783,1573
784,1463
785,1483
786,1723
787,1513
788,2094
789,1202
790,1513
791,1423
792,1172
793,1844
794,1623
795,1192
796,1072
797,1282
798,1413
799,1393
800,2254
801,1292
802,1252
803,1643
804,1342
805,1463
806,1553
807,1213
808,1302
809,1082
810,1162
811,962
812,1122
813,1042
814,1062
815,922
816,882
817,1112
818,1373
819,902
820,1543
821,1282
822,1402
823,1412
824,1363
825,1372
826,1543
827,2114
828,1363
829,1523
830,1313
831,1403
832,1322
833,1383
834,1192
835,1493
836,1132
837,2224
838,1403
839,2214
840,2425
841,1313
842,1332
843,1413
844,1683
845,1293
846,1453
847,1272
848,1784
849,1282
850,1313
851,1403
852,1953
853,1713
854,1323
855,1202
856,1492
857,2164
858,1182
859,2445
860,1793
861,1694
862,1663
863,1743
864,1833
865,1884
866,1603
867,1482
868,1714
869,1483
870,1824
871,1643
872,1704
873,1513
874,1563
875,2574
876,1884
877,1523
878,1683
879,1693
880,1703
881,1703
882,2174
883,1704
884,1113
885,1272
886,1393
887,1132
888,1172
889,1152
890,932
891,942
892,1052
893,1142
894,1082
895,1122
896,1072
897,992
898,1001
899,1513
900,1012
901,982
902,882
903,972
904,1102
905,862
906,1403
907,1062
908,991
909,1132
910,1303
911,1443
912,1002
913,1392
914,962
915,1182
916,1162
917,1133
918,961
919,1252
920,2335
921,1863
922,1833
923,1994
924,2294
925,1533
926,2174
927,2104
928,2715
929,1724
930,1804
931,1713
932,1803
933,1603
934,1322
935,1142
936,931
937,1012
938,872
939,1152
940,1132
941,942
942,1193
943,1132
944,1082
945,962
946,1262
947,1753
948,1062
949,1763
950,1092
951,1262
952,862
953,1112
954,1022
955,1022
956,1072
957,1353
958,1262
959,1172
960,1122
961,952
962,1493
963,881
964,2795
965,2023
966,1663
967,1222
968,1202
969,1322
970,1313
971,1813
972,992
973,1162
974,1162
975,1122
976,1423
977,1132
978,1192
979,872
980,1182
981,1052
982,791
983,1092
984,1152
985,1503
986,1173
987,1122
988,1012
989,1202
990,1262
991,1943
992,802
993,851
994,1312
995,852
996,771
997,1142
998,992
999,982
1000,932
1001,731
1002,1363
1003,1513
1004,1533
1005,1103
1006,1222
1007,1123
1008,1042
1009,892
1010,881
1011,1132
1012,1803
1013,1082
1014,1303
1015,1744
1016,1443
1017,1242
1018,1062
1019,1423
1020,1343
1021,1483
1022,1112
1023,1042
1024,1362
1025,1203
1026,1543
1027,1412
1028,1893
1029,1653
1030,1583
1031,1753
1032,1493
1033,1644
1034,1664
1035,1874
1036,1523
1037,1964
1038,2284
1039,1302
