0,40
1,111
2,301
3,431
4,511
5,511
6,420
7,431
8,551
9,420
10,661
11,551
12,591
13,631
14,661
15,672
16,1252
17,702
18,1032
19,891
20,801
21,942
22,932
23,942
24,972
25,991
26,1072
27,1092
28,1372
29,1182
30,1052
31,1172
32,1362
33,1062
34,1272
35,1123
36,1193
37,1223
38,1303
39,1272
40,1443
41,1603
42,2345
43,9007
44,1583
45,1403
46,1403
47,1553
48,1923
49,1353
50,1673
51,1543
52,1573
53,1813
54,1663
55,1693
56,1753
57,2955
58,2554
59,1734
60,1674
61,2093
62,1833
63,1883
64,2405
65,1964
66,1803
67,1713
68,1753
69,1744
70,1864
71,1964
72,1924
73,2876
74,2254
75,2204
76,2405
77,2094
78,2014
79,3206
80,2324
81,2324
82,2585
83,2024
84,2104
85,2254
86,2275
87,2315
88,3226
89,2475
90,2204
91,2565
92,2074
93,2244
94,2385
95,2404
96,2565
97,2485
98,2324
99,2605
100,2555
101,2945
102,2605
103,2375
104,2995
105,2605
106,2926
107,2675
108,2515
109,2435
110,3286
111,3336
112,2665
113,2465
114,3146
115,3146
116,3046
117,2996
118,2946
119,2956
120,4057
121,4449
122,2726
123,3346
124,3166
125,3166
126,3016
127,3427
128,4809
129,5500
130,4819
131,3567
132,3887
133,3327
134,3526
135,4178
136,3847
137,5831
138,3597
139,6572
140,3667
141,6091
142,3697
143,4038
144,3757
145,6472
146,7123
147,7164
148,6843
149,6983
150,3757
151,3867
152,3817
153,3858
154,3898
155,3897
156,3847
157,4067
158,4228
159,3857
160,4078
161,4048
162,7374
163,4138
164,4067
165,4138
166,4007
167,7715
168,4148
169,4058
170,8075
171,4458
172,4228
173,4359
174,4258
175,4057
176,4228
177,4298
178,4328
179,4348
180,3947
181,3997
182,7544
183,4138
184,4969
185,3928
186,4048
187,4088
188,7805
189,4418
190,6963
191,4108
192,4458
193,4198
194,4368
195,4639
196,5580
197,4329
198,6001
199,4568
200,4298
201,4609
202,4708
203,5100
204,6543
205,8947
206,4950
207,4889
208,4979
209,4919
210,8727
211,4889
212,4759
213,4979
214,4859
215,5000
216,8095
217,5050
218,5060
219,4819
220,5119
221,4870
222,5140
223,5050
224,4979
225,4879
226,4889
227,4769
228,8486
229,4929
230,4920
231,5239
232,14358
233,5260
234,5109
235,5180
236,8226
237,4990
238,4969
239,5320
240,5270
241,4929
242,4899
243,4960
244,4769
245,4809
246,5690
247,5350
248,5570
249,6803
250,5249
251,8656
252,9378
253,9959
254,5180
255,5611
256,5340
257,6332
258,5431
259,7233
260,5571
261,5841
262,5981
263,5220
264,5491
265,5040
266,6934
267,5681
268,5680
269,5440
270,5450
271,5431
272,5450
273,5571
274,6072
275,6222
276,5620
277,6232
278,5541
279,5350
280,5411
281,7875
282,6423
283,6432
284,6282
285,5741
286,5610
287,5630
288,8666
289,10680
290,11492
291,16371
292,10109
293,9518
294,10159
295,9448
296,7093
297,5962
298,6783
299,6733
300,6503
301,5932
302,7184
303,6101
304,7775
305,6071
306,6552
307,7935
308,7064
309,6603
310,6803
311,6503
312,6733
313,5952
314,5901
315,7454
316,7233
317,7274
318,9117
319,6222
320,6442
321,6012
322,7254
323,7504
324,7344
325,6843
326,8957
327,7424
328,6963
329,7404
330,6723
331,8015
332,6302
333,7234
334,7986
335,6673
336,6622
337,10440
338,8667
339,7354
340,8907
341,11271
342,7354
343,7124
344,6392
345,7965
346,7384
347,6652
348,6473
349,13305
350,11242
351,10189
352,8456
353,6843
354,8356
355,7885
356,7194
357,7555
358,6773
359,9348
360,10851
361,7063
362,8827
363,6883
364,9719
365,7725
366,8766
367,8236
368,6703
369,6703
370,6753
371,13165
372,8977
373,7344
374,12964
375,6993
376,7814
377,6742
378,6822
379,9288
380,12884
381,7033
382,6924
383,6863
384,6763
385,6823
386,11873
387,14468
388,11663
389,7193
390,13075
391,7294
392,14397
393,7986
394,7113
395,8887
396,11151
397,8306
398,8195
399,10551
400,8276
401,8036
402,8296
403,7394
404,7514
405,20840
406,7554
407,7293
408,10389
409,8907
410,7394
411,14006
412,8075
413,7624
414,9188
415,14849
416,10820
417,10680
418,9107
419,8486
